date,requests,pageViews,uniques
2022-08-30,606411,32621,22539
2022-08-31,614678,35032,24140
2022-09-01,644172,36966,24667
2022-09-02,372558,19358,13582
2022-09-03,733468,44149,31798
2022-09-04,460766,28631,21608
2022-09-05,417635,21710,14497
2022-09-06,913138,51647,34000
2022-09-07,519188,28849,19706
2022-09-08,576940,33156,22326
2022-09-09,529895,29582,19957
2022-09-10,707484,44492,31790
2022-09-11,555146,33768,24877
2022-09-12,1179320,92763,40244
2022-09-13,968372,65630,32099
2022-09-14,792889,47294,25111
2022-09-15,823787,47218,29027
2022-09-16,675640,44988,24753
2022-09-17,435325,25094,17455
2022-09-18,450220,26884,19604
2022-09-19,597423,42293,20259
2022-09-20,639400,34677,21684
2022-09-21,1033975,87726,37659
2022-09-22,560535,37851,19357
2022-09-23,440249,24954,15971
2022-09-24,448976,26763,19953
2022-09-25,430700,24648,18174
2022-09-26,694109,39743,26204
2022-09-27,781516,57547,25624
2022-09-28,573016,33515,21197
2022-09-29,574868,32901,22349
2022-09-30,1044014,62532,41597
2022-10-01,406929,23887,17745
2022-10-02,279167,15439,11586
2022-10-03,529902,35217,17813
2022-10-04,479319,26531,16072
2022-10-05,597127,33386,22158
2022-10-06,528109,30420,20982
2022-10-07,419399,22988,16146
2022-10-08,460799,28534,21892
2022-10-09,433278,26489,20316
2022-10-10,620196,35709,23796
2022-10-11,565272,32091,20653
2022-10-12,736318,43491,30189
2022-10-13,662938,39052,26509
2022-10-14,642197,52109,24523
2022-10-15,448832,29393,19293
2022-10-16,257055,14201,9611
2022-10-17,350626,17889,9804
2022-10-18,402992,20403,11873
2022-10-19,362294,17046,11102
2022-10-20,548166,27950,18895
2022-10-21,538972,27013,18467
2022-10-22,327166,15681,10999
2022-10-23,322679,15958,11383
2022-10-24,553206,28619,17697
2022-10-25,533944,25740,17112
2022-10-26,509039,25023,17302
2022-10-27,480835,24241,16708
2022-10-28,410029,20700,15002
2022-10-29,451251,25085,18797
2022-10-30,339700,17991,13482
2022-10-31,462208,25536,18594
2022-11-01,435409,23983,18468
2022-11-02,901180,50549,35722
2022-11-03,475915,24617,17610
2022-11-04,445046,22350,16311
2022-11-05,425470,23251,18036
2022-11-06,473193,26991,21144
2022-11-07,449949,23572,15533
2022-11-08,499569,26966,17850
2022-11-09,450955,25140,17603
2022-11-10,489767,26008,18828
2022-11-11,429380,23940,17703
2022-11-12,335956,19455,14784
2022-11-13,402022,23393,18537
2022-11-14,342703,17015,11122
2022-11-15,280730,13369,8656
2022-11-16,267028,12686,8209
2022-11-17,338850,17450,11891
2022-11-18,327787,17706,11543
2022-11-19,374676,21367,16585
2022-11-20,426333,25652,19510
2022-11-21,354792,19048,12495
2022-11-22,400963,21943,14915
2022-11-23,483971,29970,17748
2022-11-24,557054,31683,21591
2022-11-25,464377,27113,19641
2022-11-26,873405,52912,40848
2022-11-27,349465,20086,15411
2022-11-28,283932,13760,8330
2022-11-29,417270,24117,14910
2022-11-30,329603,18428,11152
2022-12-01,432220,25543,16027
2022-12-02,319019,17325,11463
2022-12-03,200364,11444,7127
2022-12-04,276303,15273,11651
2022-12-05,380926,19147,12955
2022-12-06,428524,22824,14568
2022-12-07,443826,22334,14208
2022-12-08,360464,16339,10435
2022-12-09,390041,18483,10662
2022-12-10,345586,16921,12469
2022-12-11,270901,12198,8462
2022-12-12,635444,31521,22512
2022-12-13,664269,34045,22270
2022-12-14,520730,25312,16781
2022-12-15,507874,24082,16265
2022-12-16,554797,27441,18889
2022-12-17,382125,18556,14268
2022-12-18,559658,29384,23150
2022-12-19,696248,37796,24152
2022-12-20,800414,41147,28949
2022-12-21,737489,37716,27187
2022-12-22,355541,15764,10798
2022-12-23,429056,21623,15096
2022-12-24,435921,23385,17217
2022-12-25,549881,29561,22984
2022-12-26,1197675,69505,52648
2022-12-27,886118,49697,35831
2022-12-28,363510,21041,16086
2022-12-29,304676,14352,9728
2022-12-30,285717,13084,8407
2022-12-31,247236,11899,7213
2023-01-01,196154,8897,5846
2023-01-02,228603,9890,6504
2023-01-03,535040,26865,17469
2023-01-04,720426,47821,23218
2023-01-05,573352,31735,20595
2023-01-06,449889,23902,16091
2023-01-07,263429,12998,9437
2023-01-08,232658,11272,7674
2023-01-09,337475,16277,9213
2023-01-10,723418,54966,35208
2023-01-11,472547,31753,19933
2023-01-12,627396,38439,24392
2023-01-13,312901,17762,11484
2023-01-14,248013,14150,10052
2023-01-15,457485,27524,20711
2023-01-16,289063,15157,9348
2023-01-17,254333,13193,7807
2023-01-18,241996,11937,7385
2023-01-19,232574,11309,6965
2023-01-20,205022,10323,6374
2023-01-21,363707,20250,16257
2023-01-22,347210,19553,15342
2023-01-23,307191,15962,9949
2023-01-24,224333,11532,7416
2023-01-25,210856,10829,6689
2023-01-26,221286,11329,6649
2023-01-27,196594,10435,6407
2023-01-28,145400,7763,5097
2023-01-29,137581,7691,4981
2023-01-30,214793,10625,6563
2023-01-31,193301,10185,6332
2023-02-01,197585,11083,6384
2023-02-02,192810,10367,6285
2023-02-03,182307,9750,6130
2023-02-04,139171,8001,4884
2023-02-05,147772,7995,4790
2023-02-06,219012,10758,6148
2023-02-07,237156,11270,5879
2023-02-08,179771,8421,5153
2023-02-09,225068,10422,5850
2023-02-10,219205,10041,5682
2023-02-11,162367,7999,4701
2023-02-12,165686,7760,4717
2023-02-13,239494,12027,6608
2023-02-14,223238,10519,6046
